user_id,card_number,exp_month,exp_year,address_country,address_state,address_zip,customer_id_count,potential_fraud,anomaly,fraud,card_user_count,is_fraud
752,4909582977539770266,10,2025,1,13,34514,1,0,-1,True,1,0
762,4803970154052272139,01,2024,1,31,68487,1,0,-1,True,1,0
784,4875012309376473981,05,2033,1,36,03958,1,0,-1,True,1,0
790,4429814588023004887,12,2030,1,49,66575,1,0,-1,True,1,0
794,4416399864718709316,10,2024,1,3,06562,1,0,-1,True,1,0
805,4258989880228423851,06,2026,1,46,97562,1,0,-1,True,1,0
851,4510360196828280663,02,2023,1,6,59989,1,0,-1,True,1,1
852,4095221810080823736,11,2025,1,2,53050,1,0,-1,True,1,0
874,4154001856867562725,09,2030,1,44,91834,1,0,-1,True,1,0
930,4849719983649838542,11,2026,1,29,10808,1,0,-1,True,1,0
948,4319980867941063139,12,2024,1,43,69350,1,0,-1,True,1,0
1000,4934625606258363204,02,2029,1,35,45517,1,0,-1,True,1,0
1034,4873636136361463466,06,2033,1,26,93132,1,0,-1,True,1,0
1045,4820340021076207671,04,2029,1,44,08493,1,0,-1,True,1,0
1051,4218185736339431850,01,2027,1,42,53751,1,0,-1,True,1,0
1093,4898848254009134190,01,2033,1,40,15242,1,0,-1,True,1,1
1106,4302319698369434835,08,2032,1,22,96479,1,0,-1,True,1,0
1112,4106316316351875398,02,2032,1,41,93459,1,0,-1,True,1,0
1133,4683657419108357291,01,2033,1,21,48560,1,0,-1,True,1,0
1162,4686323683525958562,04,2027,1,35,99083,1,0,-1,True,1,0
1182,4833649086413078847,02,2027,1,16,97113,1,0,-1,True,1,0
1193,4814366982647696340,12,2030,1,14,30610,1,0,-1,True,1,0
1201,4084326421396878931,04,2032,1,49,66604,1,0,-1,True,1,0
1204,4952117337786534119,10,2031,1,43,36020,1,0,-1,True,1,0
1224,4717325232767602776,06,2026,1,50,85856,1,0,-1,True,1,0
1249,4515753323351959604,01,2025,1,9,23130,1,0,-1,True,1,0
1253,4687149039051658458,02,2026,1,5,44534,1,0,-1,True,1,0
1275,4812266439958061007,12,2026,1,31,97389,1,0,-1,True,1,0
1333,4359323295123135123,05,2024,1,50,90436,1,0,-1,True,1,0
1351,4767663173518962793,02,2032,1,45,15779,1,0,-1,True,1,0
1368,4892700496546150698,08,2033,1,22,15962,1,0,-1,True,1,0
1407,4123110656703024812,10,2027,1,2,19950,1,0,-1,True,1,0
1408,4049725453021998644,09,2024,1,13,03023,1,0,-1,True,1,0
1440,4092224198173728051,09,2026,1,50,86666,1,0,-1,True,1,0
1444,4693432615372584855,04,2027,1,16,97344,1,0,-1,True,1,0
1471,4405380338465070861,04,2033,1,44,08530,1,0,-1,True,1,0
1526,4185634477780780192,12,2033,1,33,17059,1,0,-1,True,1,1
1536,4032945465984926073,01,2024,1,22,60143,1,0,-1,True,1,0
1541,4081342709348043877,01,2027,1,18,23225,1,0,-1,True,1,0
1580,4617914731585653753,09,2033,1,40,73272,1,0,-1,True,1,0
1622,4039376168406279708,03,2029,1,17,07770,1,0,-1,True,1,0
1625,4605881306489451762,02,2028,1,10,13041,1,0,-1,True,1,0
1635,4881354243225620118,03,2029,1,16,66606,1,0,-1,True,1,0
1684,4934089824530731960,04,2023,1,24,54813,1,0,-1,True,1,1
1765,4042141156982376590,10,2031,1,28,98299,1,0,-1,True,1,0
1784,4910075827928114703,05,2031,1,50,93445,1,0,-1,True,1,0
1789,4232407732642072955,02,2028,1,43,28732,1,0,-1,True,1,0
1812,4100282800404008381,02,2030,1,46,60301,1,0,-1,True,1,0
1820,4509317518127651078,03,2023,1,19,59045,1,0,-1,True,1,1
1834,4897160598137525832,08,2029,1,49,06232,1,0,-1,True,1,0
1839,4927372929973231756,11,2025,1,31,78301,1,0,-1,True,1,0
1877,4060692207122934379,12,2030,1,48,20085,1,0,-1,True,1,0
1893,4371246017102875068,08,2031,1,48,10159,1,0,-1,True,1,0
1895,4263114693444870484,11,2025,1,45,89556,1,0,-1,True,1,0
1931,4145170765494942585,03,2032,1,12,79527,1,0,-1,True,1,0
2012,4902765029403678078,06,2031,1,45,59487,1,0,-1,True,1,0
2015,4178960945194130591,01,2032,1,36,65069,1,0,-1,True,1,0
2033,4780371519963782159,06,2030,1,11,04721,1,0,-1,True,1,0
2049,4103169682295032494,04,2024,1,7,39494,1,0,-1,True,1,0
2056,4597352135475583216,11,2029,1,28,96634,1,0,-1,True,1,0
2075,4855749606600136355,08,2031,1,45,83457,1,0,-1,True,1,0
2114,4892408774887066342,03,2033,1,47,36667,1,0,-1,True,1,0
2123,4554661819996445693,11,2029,1,7,92006,1,0,-1,True,1,0
2137,4248869124691878333,01,2030,1,43,09760,1,0,-1,True,1,0
2206,6011780288832513,01,2023,1,0,07749,1,0,-1,True,1,1
2214,4193036024244387335,04,2032,1,14,17214,1,0,-1,True,1,0
2236,4341317193877878137,04,2025,1,13,87370,1,0,-1,True,1,0
2250,4406175345935805724,04,2033,1,1,97503,1,0,-1,True,1,1
2254,4184677975806350222,06,2031,1,49,24551,1,0,-1,True,1,0
2272,4598538365108541514,06,2032,1,5,21864,1,0,-1,True,1,0
2289,4393206229312119037,05,2023,1,17,98902,1,0,-1,True,1,1
2299,4009086345788751363,08,2033,1,43,08995,1,0,-1,True,1,0
2300,4388937751665495439,06,2033,1,12,73209,1,0,-1,True,1,0
2323,4837257626267821323,02,2032,1,50,43401,1,0,-1,True,1,0
2376,4830104897762397347,02,2030,1,39,40135,1,0,-1,True,1,0
2385,4633229687608288273,02,2030,1,17,24763,1,0,-1,True,1,0
2396,4204473975583590604,02,2025,1,43,35821,1,0,-1,True,1,0
2400,4099452311319331213,12,2030,1,20,84447,1,0,-1,True,1,0
2425,4522919088113926988,06,2025,1,50,24532,1,0,-1,True,1,0
2426,4760895069168767588,05,2033,1,48,90372,1,0,-1,True,1,0
2471,4228182410685829693,03,2033,1,34,50979,1,0,-1,True,1,0
2485,6011366296313850,02,2033,1,2,01365,1,0,-1,True,1,1
2489,4234702835710220709,01,2026,1,24,91475,1,0,-1,True,1,0
2525,4264509515496387011,01,2024,1,2,31408,1,0,-1,True,1,1
2575,4419065223982826990,11,2025,1,4,42151,1,0,-1,True,1,0
2578,4618805629847095153,01,2027,1,48,05384,1,0,-1,True,1,0
2591,4890609866651234915,01,2031,1,20,95943,1,0,-1,True,1,0
2593,4170755218116733066,01,2025,1,49,58218,1,0,-1,True,1,1
2643,4007176906978065933,12,2033,1,26,00573,1,0,-1,True,1,1
2645,4762959908007575,01,2032,1,46,03834,1,0,-1,True,1,0
2661,4419932645981997284,11,2031,1,32,91247,1,0,-1,True,1,0
2712,4733433723522126818,02,2024,1,28,80930,1,0,-1,True,1,0
2726,4717818673279877071,09,2032,1,7,94890,1,0,-1,True,1,0
2730,4488625092366294952,02,2033,1,43,06793,1,0,-1,True,1,0
2736,4156931236165325697,09,2030,1,0,27721,1,0,-1,True,1,0
2749,4933822335481118242,01,2032,1,26,17745,1,0,-1,True,1,0
2772,4998123166531612655,10,2025,1,48,64780,1,0,-1,True,1,0
2821,4883577966333718658,05,2030,1,23,04392,1,0,-1,True,1,0
2836,4477110206648123756,10,2025,1,1,36918,1,0,-1,True,1,0
2844,4668587365302411309,08,2030,1,22,95576,1,0,-1,True,1,0
2866,4700073172787835115,07,2033,1,2,96843,1,0,-1,True,1,0
2875,4121683038596240816,03,2027,1,21,82307,1,0,-1,True,1,0
2945,4885511295010444691,12,2024,1,21,69092,1,0,-1,True,1,0
3025,4666787357937817598,04,2029,1,22,54922,1,0,-1,True,1,0
3047,4481244808288435787,01,2029,1,16,79689,1,0,-1,True,1,0
3051,4924051383813116923,09,2027,1,32,86864,1,0,-1,True,1,0
3052,4627056317164261676,05,2026,1,30,24931,1,0,-1,True,1,0
3074,4051655945380458458,05,2028,1,47,50311,1,0,-1,True,1,0
